Wall time,Step,Value,Error
1554988146.70657,140,80.2693023681641,8.4617805480957
1554988148.10564,141,80.5114898681641,8.46710968017578
1554988149.7944,142,80.6021270751953,8.68063449859619
1554988151.0959,143,80.7277526855469,8.86878204345703
1554988152.54182,144,80.9032592773437,8.83531951904297
1554988153.98962,145,81.1647415161133,8.83277606964111
1554988155.19896,146,81.2910537719727,8.87490653991699
1554988156.75324,147,81.2864761352539,9.11219215393066
1554988158.09362,148,81.3073348999023,9.38316249847412
1554988159.90951,149,81.2737731933594,9.61336708068848
1554988162.32769,150,81.4201278686523,9.89053821563721
1554988163.6117,151,81.4446182250977,9.99219036102295
1554988164.95698,152,81.4887237548828,10.3191900253296
1554988166.72109,153,81.5723190307617,10.610107421875
1554988168.2113,154,81.5865478515625,10.9053430557251
1554988169.65748,155,81.6704559326172,10.960901260376
1554988170.92237,156,81.8429641723633,11.0040140151978
1554988172.38376,157,81.9123916625977,11.0593595504761
1554988173.69805,158,81.9777297973633,11.1058521270752
1554988175.00017,159,81.9767761230469,11.0551223754883
1554988177.39855,160,81.9740982055664,11.1163644790649
1554988178.65932,161,81.9879302978516,11.1410093307495
1554988179.90809,162,81.9919586181641,11.1458616256714
1554988181.26922,163,82.0155868530273,11.1740388870239
1554988182.50917,164,82.0136260986328,11.2078046798706
1554988183.84303,165,82.0015563964844,11.2141256332397
1554988185.25928,166,81.9474945068359,11.3063535690308
1554988186.47368,167,81.9628677368164,11.2677536010742
1554988188.03807,168,81.9653854370117,11.2301464080811
1554988189.15535,169,81.9740676879883,11.2031335830688
1554988191.16699,170,82.0031280517578,11.2383108139038
1554988192.59205,171,81.9799499511719,11.2232837677002
1554988193.87952,172,81.9839019775391,11.2469148635864
1554988195.06762,173,82.071174621582,11.2680053710938
1554988196.39025,174,82.0161895751953,11.4003953933716
1554988197.45613,175,82.0803451538086,11.3773603439331
1554988198.67209,176,82.08349609375,11.3885707855225
1554988200.05066,177,82.1454620361328,11.3752565383911
1554988201.02724,178,82.1646423339844,11.3856983184814
1554988202.3455,179,82.1492233276367,11.5544013977051
1554988204.43967,180,82.0699615478516,11.7347164154053
1554988205.58482,181,82.0900039672852,11.7275047302246
1554988206.57617,182,82.1101837158203,11.7310152053833
1554988207.57085,183,82.1524200439453,11.72434425354
1554988208.7145,184,82.1621551513672,11.7348823547363
1554988209.59672,185,82.2378692626953,11.6955499649048
1554988210.67753,186,82.3209838867188,11.6507978439331
1554988211.82442,187,82.3661880493164,11.6197319030762
1554988212.73539,188,82.4071807861328,11.6071395874023
1554988213.68199,189,82.4519500732422,11.5826435089111
1554988215.4135,190,82.4294891357422,11.5409479141235
1554988216.38427,191,82.5425720214844,11.4669790267944
1554988217.52737,192,82.5617446899414,11.4518613815308
1554988218.46893,193,82.6773681640625,11.4419937133789
1554988219.34664,194,82.7146530151367,11.3921098709106
1554988220.21487,195,82.8333129882813,11.3005142211914
1554988221.17173,196,82.8953399658203,11.25133228302
1554988222.0405,197,82.9493637084961,11.2134561538696
1554988222.99716,198,83.0983581542969,10.945894241333
1554988223.94985,199,83.1465225219727,10.9004421234131
1554988225.21232,200,83.244514465332,10.841682434082
1554988225.90382,201,83.3472137451172,10.7584066390991
1554988226.7232,202,83.4159622192383,10.6851615905762
1554988227.52711,203,83.4960250854492,10.617241859436
1554988228.34476,204,83.5602340698242,10.5467987060547
1554988229.23885,205,83.6591186523438,10.26953125
1554988230.02184,206,83.7815780639648,10.0100002288818
1554988230.79114,207,83.9040832519531,9.92462825775147
1554988231.64051,208,84.0368499755859,9.64991569519043
1554988232.60009,209,84.0584030151367,9.63288402557373
1554988233.90741,210,84.184326171875,9.38655567169189
1554988234.72697,211,84.27392578125,9.30014610290527
1554988235.5058,212,84.3578796386719,9.21417617797852
1554988236.36034,213,84.5007247924805,8.95483684539795
1554988237.07122,214,84.7323608398438,8.67590618133545
1554988237.85536,215,84.8134384155273,8.61588096618652
1554988238.63324,216,84.9071960449219,8.52089595794678
1554988239.4379,217,84.9906921386719,8.43006038665772
1554988240.37018,218,85.0288619995117,8.38125705718994
1554988241.26278,219,85.1651992797852,8.11656665802002
1554988242.6271,220,85.3170166015625,7.88900566101074
1554988243.45097,221,85.3816223144531,7.86254787445068
1554988244.22833,222,85.5106735229492,7.77011060714722
1554988245.03386,223,85.5669403076172,7.72742891311646
1554988245.74194,224,85.6729583740234,7.68021821975708
1554988246.45629,225,85.7428512573242,7.64432907104492
