Step,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Mean,StDev,Min,Max
86,-1064.95751953125,-873.602905273438,-870.280883789063,-785.774475097656,-1184.03747558594,-759.5478515625,-954.082153320313,-990.921020507813,-839.472351074219,-1166.52722167969,-948.920385742188,150.629201039616,-1184.03747558594,-759.5478515625
87,-912.5634765625,-926.269287109375,-912.107727050781,-956.881103515625,-1035.07543945313,-781.850219726563,-789.667907714844,-755.306884765625,-1049.830078125,-1220.76232910156,-934.0314453125,142.711876741392,-1220.76232910156,-755.306884765625
88,-697.652770996094,-667.362243652344,-855.942260742187,-713.107788085938,-725.613037109375,-786.576477050781,-1052.30725097656,-858.635803222656,-647.131774902344,-1222.54772949219,-822.687713623047,185.090426759599,-1222.54772949219,-647.131774902344
89,-934.58837890625,-652.518615722656,-795.715698242188,-133.818267822266,-787.912475585938,-1046.08972167969,-953.966003417969,-818.226623535156,-812.385437011719,-1252.67419433594,-818.789541625977,292.491614670539,-1252.67419433594,-133.818267822266
90,-658.439636230469,-726.205383300781,-1259.30004882813,-340.008972167969,-1034.47802734375,-802.123046875,-1524.51086425781,-909.3017578125,-615.2294921875,-1238.85583496094,-910.845306396484,356.487236306129,-1524.51086425781,-340.008972167969
91,-1006.95941162109,-958.145629882812,-1120.453125,-772.441284179688,-257.415649414063,-667.800659179688,-1074.24328613281,-385.316101074219,-523.171081542969,-1069.13354492188,-783.507977294922,312.104991709177,-1120.453125,-257.415649414063
92,-4.39651536941528,-676.419860839844,-651.346923828125,-919.360534667969,-392.862518310547,-880.047485351563,-925.694274902344,-752.016479492188,-405.464141845703,-1176.47204589844,-678.408078050613,337.378030242518,-1176.47204589844,-4.39651536941528
93,-369.040771484375,-743.941955566406,-1051.009765625,-1081.25,-904.714172363281,-397.765411376953,-1074.05090332031,-934.222595214844,-135.967422485352,-928.369934082031,-762.033293151855,339.911188804603,-1081.25,-135.967422485352
94,-942.215270996094,-785.415344238281,-904.790344238281,-917.188415527344,-787.44287109375,-526.741394042969,-995.861877441406,-891.424194335938,-677.691040039062,-689.02880859375,-811.779956054688,146.282320413761,-995.861877441406,-526.741394042969
95,-736.709533691406,-919.334350585937,-781.573486328125,-997.629699707031,-1520.47961425781,-925.443664550781,-970.025695800781,-732.666748046875,-131.201019287109,-759.895141601563,-847.495895385742,341.931567559079,-1520.47961425781,-131.201019287109
96,-894.845458984375,-904.67431640625,-951.361511230469,-1070.46911621094,-1068.04370117188,-979.037170410156,-813.305541992188,-286.522277832031,-902.985412597656,-910.467224121094,-878.171173095703,222.474978875083,-1070.46911621094,-286.522277832031
97,-132.569625854492,-609.41845703125,-395.316833496094,-85.5040893554687,-548.487243652344,-780.58349609375,-896.700622558594,-774.055541992188,-908.699523925781,-949.296264648438,-608.06316986084,315.422958804136,-949.296264648438,-85.5040893554687
98,-782.0234375,-966.656066894531,-1064.98974609375,-548.500366210938,-851.853820800781,-1211.49963378906,-217.847640991211,-926.20703125,-941.328369140625,-773.875732421875,-828.478184509277,279.078941299279,-1211.49963378906,-217.847640991211
