Wall time,Step,Value,Min,Max,Error
1555179749.15914,240,89.5530471801758,79.9950256347656,92.2564315795898,2.74734044075012
1555179750.00474,241,89.5687026977539,80.0261917114258,92.2513427734375,2.72933506965637
1555179750.80085,242,89.5902938842773,80.0973129272461,92.2340698242187,2.70812797546387
1555179751.60133,243,89.6054992675781,80.0305633544922,92.2710647583008,2.71103620529175
1555179752.70723,244,89.5362930297852,79.9937896728516,92.2444305419922,2.78186058998108
1555179753.48112,245,89.5468063354492,80.0371551513672,92.2519760131836,2.77189111709595
1555179754.37352,246,89.5717315673828,80.0750732421875,92.2162094116211,2.76051640510559
1555179755.18047,247,89.5779037475586,80.1849136352539,92.2285003662109,2.73713755607605
1555179755.99398,248,89.5996322631836,80.3108215332031,92.1450576782227,2.71163773536682
1555179756.78768,249,89.6230316162109,80.2815475463867,92.0940933227539,2.70512294769287
1555179762.94128,250,89.6272277832031,80.3056411743164,92.012825012207,2.70003128051758
1555179763.71663,251,89.6583709716797,80.4412078857422,92.0245056152344,2.67865824699402
1555179764.51475,252,89.6679916381836,80.501220703125,91.9752197265625,2.67063760757446
1555179765.55638,253,89.6833877563477,80.5022048950195,91.9113693237305,2.67046213150024
1555179766.48457,254,89.6783752441406,80.4895248413086,91.9377593994141,2.67055940628052
1555179767.27104,255,89.7095489501953,80.5219116210938,91.890266418457,2.67156958580017
1555179768.31343,256,89.6841430664063,80.5439605712891,91.8720397949219,2.70064568519592
1555179769.02221,257,89.6982650756836,80.5657958984375,91.8393020629883,2.69577240943909
1555179769.79067,258,89.7245712280273,80.5714874267578,91.8511657714844,2.69010925292969
1555179770.61369,259,89.7365798950195,80.595100402832,92.1023788452149,2.68952512741089
1555179775.6331,260,89.7555618286133,80.6038360595703,92.2582244873047,2.69232940673828
1555179776.4314,261,89.7718734741211,80.6367645263672,92.5491638183594,2.70814657211304
1555179777.18178,262,89.7795486450195,80.7199935913086,92.7482833862305,2.71005296707153
1555179777.9587,263,89.7823715209961,80.746826171875,92.8755569458008,2.70792675018311
1555179778.67849,264,89.7999649047852,80.7712478637695,92.9623641967774,2.70976972579956
1555179779.34221,265,89.8230743408203,80.7933197021484,93.0445861816406,2.7142641544342
1555179780.04763,266,89.8422546386719,80.8107147216797,93.1429443359375,2.72886991500854
1555179780.7979,267,89.8512420654297,80.8418197631836,93.2954406738281,2.73957467079163
1555179781.57647,268,89.8600234985352,80.872184753418,93.315673828125,2.73422861099243
1555179782.35549,269,89.8856353759766,80.9410171508789,93.3636856079102,2.72912287712097
1555179787.49452,270,89.8959655761719,80.9744186401367,93.421142578125,2.7324230670929
1555179788.31402,271,89.8925933837891,80.9765472412109,93.4292907714844,2.73304629325867
