Step,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Mean,StDev,Min,Max
69,-769.606506347656,-644.321411132813,-871.800476074219,-765.060852050781,-770.021850585938,-620.571411132813,-620.571411132813,-720.921447753906,-952.5595703125,-955.943969726562,-769.137890625,125.23099989957,-955.943969726562,-620.571411132813
70,-760.452819824219,-636.852294921875,-861.298217773438,-757.75830078125,-766.735778808594,-613.541625976563,-613.541625976563,-712.390991210938,-947.658142089844,-945.963317871094,-761.619311523438,124.906955467133,-947.658142089844,-613.541625976563
71,-753.212158203125,-627.909057617188,-851.075134277344,-750.514099121094,-761.125549316406,-606.656372070313,-606.656372070313,-702.381286621094,-939.364807128906,-936.209167480469,-753.510400390625,124.288521598644,-939.364807128906,-606.656372070313
72,-746.272338867188,-620.851745605469,-848.290771484375,-740.215637207031,-755.733703613281,-608.606262207031,-608.606262207031,-694.320434570313,-928.138061523438,-931.89453125,-748.292974853516,122.182511130826,-931.89453125,-608.606262207031
73,-739.497924804688,-614.070251464844,-841.647033691406,-730.11572265625,-751.9541015625,-607.027099609375,-607.027099609375,-688.235229492188,-917.130493164063,-922.662536621094,-741.936749267578,119.804355534404,-922.662536621094,-607.027099609375
74,-732.912170410156,-607.492065429688,-835.259826660156,-721.954467773438,-743.550231933594,-602.258728027344,-602.258728027344,-682.101440429688,-911.461242675781,-919.206237792969,-735.845513916016,120.027804683864,-919.206237792969,-602.258728027344
75,-726.392822265625,-603.619079589844,-826.00048828125,-715.582214355469,-738.490600585938,-602.628967285156,-602.628967285156,-676.178466796875,-904.333435058594,-915.128784179688,-731.098382568359,118.075997947135,-915.128784179688,-602.628967285156
76,-718.393493652344,-598.945983886719,-818.510131835938,-709.396850585938,-732.010192871094,-596.293884277344,-596.293884277344,-672.056213378906,-894.130859375,-909.262329101563,-724.529382324219,117.122546664978,-909.262329101563,-596.293884277344
77,-712.133911132813,-594.281799316406,-808.04248046875,-701.844970703125,-725.70263671875,-591.919128417969,-591.919128417969,-664.953308105469,-890.403259277344,-908.907897949219,-719.010852050781,117.631148095708,-908.907897949219,-591.919128417969
78,-707.784790039063,-588.199340820313,-799.393798828125,-694.434692382812,-722.294555664063,-588.925415039062,-588.925415039062,-658.014953613281,-880.546325683594,-903.573608398438,-713.209289550781,116.28477729456,-903.573608398438,-588.199340820313
79,-702.013549804687,-582.289428710938,-794.07373046875,-687.259216308594,-714.709899902344,-587.486450195313,-587.486450195313,-654.369140625,-874.175048828125,-895.371643066406,-707.923455810547,114.682361619709,-895.371643066406,-582.289428710938
80,-694.801208496094,-577.991577148438,-785.712768554687,-678.837097167969,-707.360290527344,-581.752258300781,-581.752258300781,-649.199035644531,-864.794311523437,-890.464111328125,-701.266491699219,113.883615698802,-890.464111328125,-577.991577148438
81,-692.160278320312,-573.841125488281,-779.120544433594,-672.083557128906,-701.693664550781,-577.523742675781,-577.523742675781,-644.227844238281,-857.199523925781,-885.082763671875,-696.045678710938,113.010389603335,-885.082763671875,-573.841125488281
82,-686.747680664063,-566.933410644531,-777.455383300781,-665.524169921875,-698.95751953125,-574.871154785156,-574.871154785156,-639.295166015625,-854.2431640625,-878.930053710937,-691.782885742188,113.138355805956,-878.930053710937,-566.933410644531
83,-681.440734863281,-564.555969238281,-773.67578125,-664.142761230469,-695.080505371094,-572.221984863281,-572.221984863281,-633.060974121094,-843.958190917969,-875.737487792969,-687.609637451172,111.870602598217,-875.737487792969,-564.555969238281
84,-676.133911132813,-559.309692382813,-765.995239257813,-660.810424804687,-692.464721679688,-566.870239257813,-566.870239257813,-625.5419921875,-833.927612304688,-866.823303222656,-681.474737548828,110.371672768847,-866.823303222656,-559.309692382813
85,-669.679382324219,-552.74267578125,-761.322326660156,-654.597290039063,-685.834106445313,-564.348754882812,-564.348754882812,-622.333190917969,-825.558410644531,-859.578002929688,-676.034289550781,109.009541028523,-859.578002929688,-552.74267578125
86,-672.041076660156,-550.492919921875,-756.9169921875,-648.558654785156,-682.249816894531,-563.267272949219,-563.267272949219,-615.137634277344,-815.967956542969,-854.017761230469,-672.191735839844,107.168213549226,-854.017761230469,-550.492919921875
87,-668.346740722656,-544.219421386719,-751.177124023438,-645.516418457031,-678.546752929688,-562.611145019531,-562.611145019531,-610.897827148438,-809.456787109375,-849.704956054688,-668.308831787109,106.122031864846,-849.704956054688,-544.219421386719
88,-664.867492675781,-542.142578125,-745.491394042969,-639.629150390625,-680.266418457031,-560.5986328125,-560.5986328125,-606.651184082031,-803.12109375,-841.488342285156,-664.485491943359,104.283998613547,-841.488342285156,-542.142578125
89,-660.249877929688,-537.488098144531,-742.77685546875,-633.849914550781,-674.047119140625,-557.014343261719,-557.014343261719,-601.281860351563,-795.450378417969,-832.064758300781,-659.123754882813,102.928078331262,-832.064758300781,-537.488098144531
90,-655.656494140625,-535.543029785156,-737.418334960938,-628.226867675781,-670.684936523438,-556.243103027344,-556.243103027344,-594.616943359375,-790.991333007813,-829.738220214844,-655.536236572266,102.307908998318,-829.738220214844,-535.543029785156
91,-649.857360839844,-531.054504394531,-733.29345703125,-625.305908203125,-663.3828125,-556.506225585938,-556.506225585938,-589.482971191406,-783.673767089844,-827.628540039063,-651.669177246094,101.331109787482,-827.628540039063,-531.054504394531
92,-644.166870117188,-531.869689941406,-730.727478027344,-625.155456542969,-657.60595703125,-553.130187988281,-553.130187988281,-583.108703613281,-776.505554199219,-822.882690429688,-647.828277587891,100.148615007424,-822.882690429688,-531.869689941406
