Step,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Mean,StDev,Min,Max
68,-1213.96240234375,-1135.73059082031,-1233.8759765625,-1164.00476074219,-1101.86010742188,-1160.91271972656,-1292.77514648438,-1196.17028808594,-1117.73657226563,-1186.24572753906,-1180.32742919922,57.3839353247426,-1292.77514648438,-1101.86010742188
69,-1213.80395507813,-1136.26293945313,-1237.38232421875,-1160.46618652344,-1100.4228515625,-1153.77368164063,-1285.32446289063,-1188.34167480469,-1112.84582519531,-1184.0205078125,-1177.26444091797,57.1198759312581,-1285.32446289063,-1100.4228515625
70,-1211.1533203125,-1132.59521484375,-1237.91162109375,-1158.76440429688,-1094.88525390625,-1156.59533691406,-1283.06323242188,-1187.72155761719,-1110.18664550781,-1185.07800292969,-1175.79545898438,57.945672754277,-1283.06323242188,-1094.88525390625
71,-1206.29174804687,-1122.13623046875,-1240.42602539063,-1155.03088378906,-1090.65490722656,-1155.47570800781,-1282.13745117188,-1188.8330078125,-1109.75476074219,-1185.69836425781,-1173.64390869141,59.6016094434771,-1282.13745117188,-1090.65490722656
72,-1205.14929199219,-1121.09643554688,-1234.17272949219,-1149.99279785156,-1088.09008789063,-1153.40368652344,-1280.78039550781,-1185.64660644531,-1111.58837890625,-1187.83410644531,-1171.77545166016,59.0157162518649,-1280.78039550781,-1088.09008789063
73,-1199.24597167969,-1114.60375976563,-1236.98876953125,-1151.12536621094,-1076.88159179688,-1153.31286621094,-1278.62683105469,-1186.98791503906,-1112.21154785156,-1189.89575195313,-1169.98803710938,61.0473751503214,-1278.62683105469,-1076.88159179688
74,-1196.83117675781,-1111.19421386719,-1240.23608398438,-1152.15087890625,-1075.98913574219,-1158.31677246094,-1273.56359863281,-1184.41625976563,-1101.69812011719,-1190.22644042969,-1168.46226806641,61.8134546220509,-1273.56359863281,-1075.98913574219
75,-1194.6728515625,-1105.03820800781,-1238.08288574219,-1148.67272949219,-1072.4072265625,-1162.87915039063,-1269.65368652344,-1184.22570800781,-1101.31689453125,-1192.59790039063,-1166.95472412109,62.1490115956854,-1269.65368652344,-1072.4072265625
76,-1196.95581054688,-1099.064453125,-1237.61767578125,-1145.45239257813,-1070.58996582031,-1161.96716308594,-1267.85070800781,-1184.97839355469,-1100.609375,-1195.84985351563,-1166.09357910156,63.2542223964424,-1267.85070800781,-1070.58996582031
77,-1195.06262207031,-1093.33837890625,-1238.52087402344,-1145.28344726563,-1066.8984375,-1154.94262695313,-1263.6689453125,-1183.2001953125,-1106.80395507813,-1196.35168457031,-1164.40711669922,63.2378916054517,-1263.6689453125,-1066.8984375
78,-1186.07177734375,-1088.8359375,-1236.43383789063,-1140.88366699219,-1061.77514648438,-1151.77978515625,-1255.53381347656,-1181.51037597656,-1102.29321289063,-1197.73474121094,-1160.28522949219,63.2542463344944,-1255.53381347656,-1061.77514648438
79,-1183.03430175781,-1085.49182128906,-1233.43273925781,-1139.22216796875,-1062.9580078125,-1147.81823730469,-1249.98217773438,-1178.11364746094,-1099.83618164063,-1192.58703613281,-1157.24763183594,61.9160884080264,-1249.98217773438,-1062.9580078125
80,-1180.99365234375,-1081.78173828125,-1229.724609375,-1129.87341308594,-1059.44421386719,-1146.88513183594,-1247.59765625,-1175.1513671875,-1097.51354980469,-1192.92932128906,-1154.18946533203,62.5083239113046,-1247.59765625,-1059.44421386719
81,-1175.8310546875,-1078.01806640625,-1227.69055175781,-1129.30578613281,-1057.77990722656,-1144.7802734375,-1242.529296875,-1169.19848632813,-1096.67602539063,-1194.60461425781,-1151.64140625,61.9864088334727,-1242.529296875,-1057.77990722656
82,-1166.07141113281,-1079.05700683594,-1225.21142578125,-1125.8134765625,-1051.85180664063,-1142.01110839844,-1240.7216796875,-1161.23010253906,-1091.70361328125,-1196.50866699219,-1148.01802978516,62.457644658453,-1240.7216796875,-1051.85180664063
83,-1163.05932617188,-1077.36596679688,-1218.34692382813,-1126.61926269531,-1050.40270996094,-1139.20056152344,-1238.2119140625,-1158.15869140625,-1081.67260742188,-1198.28796386719,-1145.13259277344,62.6381204801153,-1238.2119140625,-1050.40270996094
84,-1161.59301757813,-1074.23022460938,-1208.74841308594,-1121.05688476563,-1047.35107421875,-1133.61547851563,-1236.01037597656,-1157.42395019531,-1068.89953613281,-1198.89526367188,-1140.782421875,63.7190759710655,-1236.01037597656,-1047.35107421875
85,-1160.14538574219,-1072.69665527344,-1205.51867675781,-1114.44519042969,-1047.91040039063,-1132.00476074219,-1227.82019042969,-1151.90515136719,-1067.51440429688,-1200.19946289063,-1138.01602783203,62.4665548012734,-1227.82019042969,-1047.91040039063
